Dado,Formato,Temos info?,Dado enviado para HubSpot?,Dado de Contato ou Empresa,Propriedade na Hubspot,Tempo do Dado,Prioridade de envio,Agrupamento,Observação Sabrina,Metabase
ID da loja,Número,Sim,"Sim ",Empresa,id_loja,Tempo Real,Essencial,,,
URL do site,Texto,Sim,"Sim ",Empresa,website,Tempo Real,Essencial,,"Domínio configurado no painel ou subdomínio, se não houver.",
Subdomínio da loja,Texto,Sim,"Sim ",Empresa,subdomain,Tempo Real,Essencial,,Subdominio .lojaintegrada.com.br,
Status da Loja,Texto,Sim,"Sim ",Empresa,status_da_loja,Tempo Real,Essencial,,,
Loja em manutenção,Flag,Sim,"Sim ",Empresa,loja_em_manutencao,Tempo Real,Médio,,,
Descrição do Tier,Texto,Sim,"Sim ",Empresa,descricao_tier,D-1,Médio,,,
Clusterização,Texto,Sim,"Sim ",Empresa,cluster,D-1,Médio,,,
Segmento da Loja,Texto,Sim,"Sim ",Empresa,segmento_da_loja,Tempo Real,Essencial,,,
Cidade da Loja,Texto,Sim,"Sim ",Empresa,City,D-1,Essencial,,,
Estado da Loja,Texto,Sim,"Sim ",Empresa,state,D-1,Essencial,,,
Plano atual,Texto,Sim,"Sim ",Empresa,plan_id_cloned_,Tempo Real,Essencial,,,
Id plano atual,Número,Sim,"Sim ",Empresa,id_plano_atual,Tempo Real,Essencial,,,
Plano anterior,Texto,Sim,"Sim ",Empresa,plano_anterior,D-1,Baixo,,,
Ciclo do Plano (anual ou mensal),Texto,Sim,"Sim ",Empresa,tipo_plano,D-1,Essencial,,,
Início do ciclo,Data,Sim,"Sim ",Empresa,inicio_de_ciclo,D-1,Essencial,,,
Fim do ciclo,Data,Sim,"Sim ",Empresa,fim_de_ciclo,D-1,Essencial,,,
Upgrade Loja,Flag,Sim,"Sim ",Empresa,upgrade_loja,D-1,Essencial,,,
Downgrade Loja,Flag,Sim,"Sim ",Empresa,downgrade_loja,D-1,Essencial,,,
Churn de plano (para o grátis),Flag,Sim,"Sim ",Empresa,churn_de_plano__para_o_gratis_,D-1,Essencial,,,
Novo,Flag,Sim,"Sim ",Empresa,assinante_novo,D-1,Essencial,,,
Ranking da Loja Integrada,Número,Sim,"Sim ",Empresa,ranking,D-1,Baixo,,,
Data de criação,Data,Sim,"Sim ",Empresa,data_criacao_dl,Tempo Real,Essencial,,,
Último acesso ao painel,Data,Sim,"Sim ",Empresa,data_ultimo_acesso,Tempo Real,Médio,,,
Data da primeira venda aprovada,Data,Sim,"Sim ",Empresa,data_primeira_venda,Tempo Real,Essencial,,,
Meio de pagamento configurado,Flag,Sim,"Sim ",Empresa,pagamento_ativo,Tempo Real,Essencial,,Flag se possui algum meio de pagamento ativo no momento,
Data configurou um meio de pagamento,Data,Sim,"Sim ",Empresa,data_cadastro_pagamento,Tempo Real,Essencial,,Data em que configurou um meio de pagamento na loja pela primeira vez,
Meio de envio configurado,Flag,Sim,"Sim ",Empresa,envio_ativo,Tempo Real,Essencial,,Flag se possui algum meio de envio ativo no momento,
Data configurou um meio de envio,Data,Sim,"Sim ",Empresa,data_cadastro_envio,Tempo Real,Essencial,,Data em que configurou um meio de envio na loja pela primeira vez,
Data cadastrou primeiro produto,Data,Sim,"Sim ",Empresa,data_cadastro_produto,Tempo Real,Essencial,,Data em que cadastrou um produto na loja pela primeira vez,
Quantidade de produtos ativos,Número,Sim,"Sim ",Empresa,produtos_ativos,Tempo Real,Essencial,,,
Terminou o Wizard,Flag,Sim,"Sim ",Empresa,finalizou_wizard,Tempo Real,Essencial,,,
Checkout sem senha,Flag,Sim,"Sim ",Empresa,checkout_sem_senha,D-1,Médio,,,
Carrinho abandonado Ativo,Flag,Sim,"Sim ",Empresa,carrinho_abandonado_auto,Tempo Real,Médio,,,
Configurou domínio,Flag,Sim,"Sim ",Empresa,dominio_proprio,D-1,Médio,,,
Newsletter ativa,Data,Sim,"Sim ",Empresa,newsletter_ativa,D-1,Baixo,,,
